prior	cost	informativity	prob
0.45	0.5	high	0.454516597087349
0.45	0.55	high	0.452044698096785
0.45	0.6	high	0.449669591945254
0.45	0.65	high	0.447388602698959
0.45	0.7	high	0.445199020519517
0.45	0.75	high	0.443098114860125
0.5	0	high	0.511424628935766
0.5	0.05	high	0.507854396938979
0.5	0.1	high	0.504399578323771
0.5	0.15	high	0.501059090015804
0.5	0.2	high	0.49783160229058
0.5	0.25	high	0.494715563340845
0.5	0.3	high	0.491709223163312
0.5	0.35	high	0.488810656603669
0.5	0.4	high	0.486017785430138
0.5	0.45	high	0.483328399334745
0.5	0.5	high	0.480740175787911
0.5	0.55	high	0.478250698695708
0.5	0.6	high	0.475857475830208
0.5	0.65	high	0.473557955021717
0.5	0.7	high	0.471349539117525
0.5	0.75	high	0.469229599725162
0.55	0	high	0.535195857544097
0.55	0.05	high	0.531640252643407
0.55	0.1	high	0.528197287259598
0.55	0.15	high	0.524866105687779
0.55	0.2	high	0.521645596220224
0.55	0.25	high	0.518534415144926
0.55	0.3	high	0.515531010224247
0.55	0.35	high	0.5126336434775
0.55	0.4	high	0.509840413122303
0.55	0.45	high	0.507149274558601
0.55	0.5	high	0.504558060306029
0.55	0.55	high	0.502064498829717
0.55	0.6	high	0.499666232211456
0.55	0.65	high	0.497360832642481
0.55	0.7	high	0.495145817730933
0.55	0.75	high	0.493018664631472
0.6	0	high	0.55676126958251
0.6	0.05	high	0.553232921939137
0.6	0.1	high	0.549814276176556
0.6	0.15	high	0.546504680444396
0.6	0.2	high	0.543303220218495
0.6	0.25	high	0.540208741622345
0.6	0.3	high	0.537219874376466
0.6	0.35	high	0.53433505418764
0.6	0.4	high	0.531552544420376
0.6	0.45	high	0.528870456921804
0.6	0.5	high	0.526286771898067
0.6	0.55	high	0.523799356765005
0.6	0.6	high	0.521405983918231
0.6	0.65	high	0.519104347387699
0.6	0.7	high	0.51689207835939
0.6	0.75	high	0.514766759561977
0.65	0	high	0.576414279859386
0.65	0.05	high	0.572922372263113
0.65	0.1	high	0.569537160710304
0.65	0.15	high	0.566258175223149
0.65	0.2	high	0.56308467863997
0.65	0.25	high	0.560015689195134
0.65	0.3	high	0.557050002861292
0.65	0.35	high	0.554186215256675
0.65	0.4	high	0.551422742949885
0.65	0.45	high	0.548757844022967
0.65	0.5	high	0.546189637780276
0.65	0.55	high	0.543716123515411
0.65	0.6	high	0.541335198271075
0.65	0.65	high	0.539044673547133
0.65	0.7	high	0.536842290930163
0.65	0.75	high	0.534725736633699
0.7	0	high	0.594398473093367
0.7	0.05	high	0.590949612153879
0.7	0.1	high	0.587604437462396
0.7	0.15	high	0.584362640805609
0.7	0.2	high	0.581223644011788
0.7	0.25	high	0.578186620755838
0.7	0.3	high	0.575250518247858
0.7	0.35	high	0.572414078601068
0.7	0.4	high	0.56967585970371
0.7	0.45	high	0.567034255447315
0.7	0.5	high	0.564487515190056
0.7	0.55	high	0.562033762358567
0.7	0.6	high	0.559671012114277
0.7	0.65	high	0.557397188030896
0.7	0.7	high	0.555210137748148
0.7	0.75	high	0.553107647583091
0.75	0	high	0.610917751275481
0.75	0.05	high	0.607516605699501
0.75	0.1	high	0.604216175433202
0.75	0.15	high	0.601016295875646
0.75	0.2	high	0.597916531083266
0.75	0.25	high	0.594916194788561
0.75	0.3	high	0.592014371410967
0.75	0.35	high	0.589209936850785
0.75	0.4	high	0.586501578884777
0.75	0.45	high	0.583887817009087
0.75	0.5	high	0.581367021600989
0.75	0.55	high	0.57893743229538
0.75	0.6	high	0.576597175494494
0.75	0.65	high	0.57434428095002
0.75	0.7	high	0.572176697375437
0.75	0.75	high	0.570092307062968
